"date","confirmed"
2020-06-03,2.0
2020-08-03,2.0
2020-09-03,13.0
2020-10-03,8.0
2020-11-03,9.0
2020-12-03,10.0
2020-12-03,35.0
2020-14-03,27.0
2020-15-03,21.0
2020-16-03,17.0
2020-17-03,38.0
2020-18-03,55.0
2020-19-03,82.0
2020-20-03,60.0
2020-21-03,61.0
2020-22-03,64.0
2020-23-03,65.0
2020-24-03,107.0
2020-25-03,104.0
2020-26-03,105.0
